CompanyName,Url,Area,Fund Raising,Functional Area
RIVS,http://www.rivs.com,Chicago,$2000000,//Human Resources/Staffing Firms/Recruiting/SaaS
LeanData,http://www.leandatainc.com,Sunnyvale,$5100000,//Enterprise Software/SaaS/Crowdsourcing/CRM
Bluenose Analytics,http://www.bluenose.com,San Francisco,$8000000,//SaaS/Predictive Analytics/Business Analytics/Big Data Analytics
Sparkcentral,http://www.sparkcentral.com,San Francisco,$4500000,//Social Media/CRM/Social Media Monitoring/Customer Support Tools
iCapital Network,http://www.icapitalnetwork.com,New York City,$4000000,//SaaS/Financial Services/Marketplaces/Finance
PassportParking,http://www.passportparking.com,Charlotte,$6000000,//Enterprise Software/Transportation/Parking
Axial,http://www.axial.net,New York City,$6500000,//SaaS/Marketplaces/Trusted Networks
WeSpire,http://wespire.com,Boston,$3000000,//SaaS/Social Media Platforms/Gamification/Sustainability
LocBox,http://www.getlocbox.com,San Francisco,$5100000,//Bridging Online and Offline/Local/SaaS/Small and Medium Businesses/AngelPad Spring 2011
Airware,http://www.airware.com/,San Francisco,$11700000,//Enterprise Software/Development Platforms/Aerospace/Unmanned Air Systems
AppMesh,http://appme.sh,San Francisco,$3000000,//Mobile Enterprise/Enterprise Software/Mobile
Fundly,http://www.fundly.com,Palo Alto,$5000000,//SaaS/Ventures for Good/Social Fundraising/Crowdfunding
Rifiniti,http://www.rifiniti.com,Boston,$1900000,//SaaS/Enterprise Software/Real Estate/Wireless
Pantheon,http://getpantheon.com,San Francisco,$5000000,//SaaS/Application Platforms/Web CMS
Chartio,http://chartio.com,San Francisco,$3150000,//SaaS/Enterprise Software/B2B/Business Intelligence
Nitrous.IO,https://www.nitrous.io/,Silicon Valley,$6650000,//Enterprise Software/Cloud Computing/Education/PaaS
CompStak,http://www.compstak.com,New York City,$4450000,//Mountain View/Enterprise Software/Marketplaces/Big Data/Commercial Real Estate/500 Startups Fall 2012
ElasticBox,http://www.elasticbox.com,San Francisco,$9000000,//Enterprise Software/Cloud Computing/Cloud Management/Cloud Infrastructure/AngelPad Spring 2012
Famo.us,http://famo.us,San Francisco,$4110000,//Mobile/Software/Web Development/SaaS
CapLinked,http://caplinked.com/,Los Angeles,$2100000,//Enterprise Software/Financial Services/Collaboration/Finance Technology
ZenPayroll,http://www.zenpayroll.com,San Francisco,$20000000,//SaaS/Enterprise Software/Small and Medium Businesses/Human Resources
Booshaka,http://www.booshaka.com,San Francisco,$1000000,//Advertising/Big Data/Social Media Marketing/Social CRM
SavvyCard,http://savvycard.com,Enterprise Software,$500000,//Small and Medium Businesses
Tactile,http://www.tactile.com/,Redwood City,$11200000,//Enterprise Software/Application Platforms/CRM/Mobile
FarmLogs,http://www.FarmLogs.com,Ann Arbor,$4000000,//Mobile/SaaS/Big Data/Agriculture
Acompli,https://www.acompli.com,San Francisco,$7350000,//SaaS/Enterprise Software/Mobile Enterprise/Email
Codeship,https://www.codeship.io,Boston,$2600000,//Vienna/SaaS/Developer Tools/IaaS/Testing
Looker,http://looker.com,Santa Cruz,$16000000,//Enterprise Software/Analytics/Business Intelligence/Big Data
Thanx,http://www.thanx.com,San Francisco,Unknown,//CRM/Loyalty Programs/Offline Businesses
Raise,http://www.raise.com,Chicago,$18100000,//Gift Card/Loyalty Programs/Enterprise Software
Synack,http://www.synack.com,Menlo Park,$7500000,//Data Security/Crowdsourcing/Mobile Security/SaaS
ParLevel Systems,http://www.parlevelsystems.com,San Antonio,$800000,//SaaS/Enterprise Software
EverTrue,http://www.evertrue.com,Boston,$5250000,//Mobile/SaaS/Education/Universities
Captricity,http://captricity.com,Berkeley,$2400000,//SaaS/Enterprise Software/Document Management/LAUNCH Festival 2012
Work Market,http://www.workmarket.com/,New York City,$10000000,//SaaS/Enterprise Software/Freelancers/Labor Optimization
Risk I/O,http://www.risk.io,Chicago,$5250000,//SaaS/Enterprise Software
CircleCI,https://circleci.com,San Francisco,$6000000,//SaaS/Cloud Computing/Developer Tools/PaaS
Venga,http://getvenga.com,Washington DC,$1000000,//Restaurants/Loyalty Programs/Analytics/CRM
Bitvore,http://bitvore.com,Irvine,$4500000,//Enterprise Software/Big Data/Application Platforms
BraveNewTalent,http://bravenewtalent.com,San Francisco,Unknown,//Enterprise Software/Education/Communities/Knowledge Management
Heyo,http://heyo.com,Blacksburg,$2000000,//Social Media/SaaS/Social Media Platforms/Social Media Marketing
Rocketrip,http://rocketrip.com,New York City,$2600000,//SaaS/Enterprise Software/E-Commerce/Online Travel/Y Combinator Winter 2014
Zumper,https://www.zumper.com,San Francisco,$6500000,//SaaS/Real Estate/Rental Housing/Online Rental
Quartzy,http://www.quartzy.com,Palo Alto,$4000000,//Life Sciences/Enterprise Software/Marketplaces
Natero (YCS12),http://www.natero.com,Palo Alto,$3300000,//Analytics/SaaS/B2B/Enterprise Software
Mailjet,http://www.mailjet.com,Paris,$3000000,//SaaS/Email Newsletters/IaaS/Cloud Infrastructure
Vivastream,http://www.vivastream.com,New York City,Unknown,//B2B/Social Media Platforms/Sales Automation/Events
Hall,https://hall.com,San Francisco,$5500000,//Enterprise Software/Cloud Computing/Collaboration/Mobile Enterprise/AngelPad Spring 2012
TrueAbilityâ„¢,http://TrueAbility.com,San Antonio,$2000000,//Recruiting/Social Recruiting/Human Resources/SaaS
